Heading,Subheading,Title,URL,Filepath,Content Type,Content Hash
Gatherings,Gathering Training and Resources for PathwayConnect,Gathering Procedures for Inviting Friends,https://missionaries.prod.byu-pathway.psdops.com/Gathering-Procedures-for-Inviting-Friends,./data/pdf/Gathering-Procedures-for-Inviting-Friends.pdf,pdf,9e3b2661d20a799c957186a93a65898bc7d4130588a80a3467a10ed1700fce35
Gatherings,Gathering Training and Resources for PathwayConnect,PathwayConnect Gathering Procedures,https://missionaries.prod.byu-pathway.psdops.com/PathwayConnect-Gathering-Procedures,./data/pdf/PathwayConnect-Gathering-Procedures.pdf,pdf,7513badab852290379ed0b6fbec51ace5f4c5648920a6459b109b4ea3fbdd298
Gatherings,Gathering Training and Resources for PathwayConnect,PC 102 Semester Project Overview,https://missionaries.prod.byu-pathway.psdops.com/PC-102-Semester-Project-Overview,./data/pdf/PC--Semester-Project-Overview.pdf,pdf,80d74ce3f20647a4394d194873e329129c1834d25788d93148a99bbdca282b7e
Gatherings,PC101,PC 101 Block Lead Student Sign-Up Sheet,https://missionaries.prod.byu-pathway.psdops.com/PC-101-Block-Lead-Student-Sign-Up-Sheet,./data/pdf/PC--Block-Lead-Student-Sign-Up-Sheet.pdf,pdf,eed7e0a98ebf382f294e23859ec9e6878fecfff87488f04f4072844d7f1e336c
Graduation from (BYU-Idaho and Ensign College),Application,Diploma/Certificate Graduation Application Support Knowledge Article,https://pathway-missionary.powerappsportals.com/knowledgebase/article/KA-01526/en-us,./data/html/DiplomaCertificate-Graduation-Application-Support-Knowledge-Article.html,html,a55b7210b5e130b37c9e23f1bb0ed29bcf5d99a0872ffc31bec25918dc5f6663
Graduation from (BYU-Idaho and Ensign College),Application,Reading a BYU-Idaho Degree Audit Support Knowledge Article,https://pathway-missionary.powerappsportals.com/knowledgebase/article/KA-01815/en-us,./data/html/Reading-a-BYU-Idaho-Degree-Audit-Support-Knowledge-Article.html,html,6bf8467dae664b82337daa2c1babf4a95f6267d6088e39eaa941a2533ba3f6df
Increasing Awareness,BYU-Pathway Articles,BYU-Pathway Articles Website,https://www.byupathway.edu/articles,./data/html/BYU-Pathway-Articles-Website.html,html,fc5981ab353a9e23b7bb0d5ab1fedc96b37b211ba3182dc2354f5be22ba5907b
Increasing Awareness,Increasing Awareness of EnglishConnect,EnglishConnect Marketing Materials,https://www.englishconnect.org/resources/teachers-and-leaders,./data/html/EnglishConnect-Marketing-Materials.html,html,5c5972aa154572ac1adb06eede7b61b22010ff4dbeda142c0e4ecf2048f9c94f
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries Chinese Traditional,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_Chinese-Traditional,./data/pdf/EC-Flyer-for-Service-Missionaries-Chinese-Traditional.pdf,pdf,6d10502270741228ef610bd725265e0c2171954072f9186afcfeafb70762ad79
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries English,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_English,./data/pdf/EC-Flyer-for-Service-Missionaries-English.pdf,pdf,d7beb7c86c86e054728c14fc549b823832e8f16bded599429c34a90e1be6d482
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries French,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_French,./data/pdf/EC-Flyer-for-Service-Missionaries-French.pdf,pdf,16f7d71e9de5749f2177ef05876a15be8d560ce62e993f2f440ac4bd1a981666
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries Portuguese,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_Portuguese,./data/pdf/EC-Flyer-for-Service-Missionaries-Portuguese.pdf,pdf,04a8c37b424b04fe09a66f0e920b3dae13df84e5d7930518f86bbe2a8d96a64e
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries Spanish,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_Spanish,./data/pdf/EC-Flyer-for-Service-Missionaries-Spanish.pdf,pdf,6fc4e276db70d98680441f7046750e7207903bc88778aee88efb9beb674bfe16
Increasing Awareness,Increasing Awareness of EnglishConnect,EC3 Flyer for Service Missionaries Ukrainian,https://missionaries.prod.byu-pathway.psdops.com/EC3-Flyer-for-Service-Missionaries_Ukrainian,./data/pdf/EC-Flyer-for-Service-Missionaries-Ukrainian.pdf,pdf,f52530fadcc89f277c3c20124df7d0de5991f5c3c22929aab2e1f5fa88359ca6
Increasing Awareness,Increasing Awareness of PathwayConnect,BYU-Pathway in 30 Seconds,https://missionaries.prod.byu-pathway.psdops.com/BYU-Pathway-in-30-Seconds,./data/pdf/BYU-Pathway-in--Seconds.pdf,pdf,c71449f7fe8e62edc4ba3ac00a8f87555344d233b560ec4394845973142f8d08
Increasing Awareness,Increasing Awareness of PathwayConnect,BYU-Pathway in 7-10 Minutes,https://missionaries.prod.byu-pathway.psdops.com/BYU-Pathway-in-7-10-Minutes,./data/pdf/BYU-Pathway-in---Minutes.pdf,pdf,6dd1cb9df0d5bd19c3dc8e263f82fccb635c4e2688a9f3a16917ea58b0f35bed
Increasing Awareness,Increasing Awareness of PathwayConnect,BYU-Pathway Interest List,https://missionaries.prod.byu-pathway.psdops.com/BYUPW-Interest-List,./data/pdf/BYU-Pathway-Interest-List.pdf,pdf,e1bd23e8d13ecab93a36556ad5ead593e212e5a0510d1ae5e4f4dc65f3ae917f
Increasing Awareness,Increasing Awareness of PathwayConnect,Domestic Quarter Sheets Any Student,https://missionaries.prod.byu-pathway.psdops.com/Domestic-Quarter-Sheets-Any-Student,./data/pdf/Domestic-Quarter-Sheets-Any-Student.pdf,pdf,aa660eb3161d175e008bfa9d7a12f485c018a2e5add60de9fcaada8678e33025
Increasing Awareness,Increasing Awareness of PathwayConnect,Domestic Quarter Sheets - Better Job,https://missionaries.prod.byu-pathway.psdops.com/Domestic-Quarter-Sheets-Better-Job,./data/pdf/Domestic-Quarter-Sheets---Better-Job.pdf,pdf,bcbf5446ae5acd2c7706a4bde62c2b57e2e68fa942daa4d526c27d498777ba3c
Increasing Awareness,Increasing Awareness of PathwayConnect,Domestic Quarter Sheets - Fresh Start,https://missionaries.prod.byu-pathway.psdops.com/Domestic-Quarter-Sheets-fresh-start,./data/pdf/Domestic-Quarter-Sheets---Fresh-Start.pdf,pdf,c14e0c7d438688c47df41ebba9aede873d94ad3cd533f47fb305bde08e41be4d
Increasing Awareness,Increasing Awareness of PathwayConnect,Domestic Quarter Sheets Everyone Can Access Higher Education,https://missionaries.prod.byu-pathway.psdops.com/Domestic-Quarter-Sheets-Everyone-can-access-higher-education,./data/pdf/Domestic-Quarter-Sheets-Everyone-Can-Access-Higher-Education.pdf,pdf,2940338e9ad78537c136b3f2c508f6282d44a6778574297c3ed33a0f63f5385d
Increasing Awareness,Increasing Awareness of PathwayConnect,Elders Quorum and Relief Society Presentations,https://missionaries.prod.byu-pathway.psdops.com/Elders-Quorom-and-Relief-Society-Presentations,./data/pdf/Elders-Quorum-and-Relief-Society-Presentations.pdf,pdf,713bec8bdbc3bf4ebdb2693c95c8c62b170a593cfe97392e7be4e582739a3d4e
Increasing Awareness,Increasing Awareness of PathwayConnect,Email All Adult Members,https://missionaries.prod.byu-pathway.psdops.com/Email-All-Adult-Members,./data/pdf/Email-All-Adult-Members.pdf,pdf,60aef1c1df818472f806c2ec8847029d962f235371ca21615651134cbbcd7f54
Increasing Awareness,Increasing Awareness of PathwayConnect,Employment and Self-Reliance Fair,https://missionaries.prod.byu-pathway.psdops.com/Employment-and-Self-Reliance-Fair,./data/pdf/Employment-and-Self-Reliance-Fair.pdf,pdf,d65a88a8d16bd5bb0afc26ffec7a429700659b1001db642e385969aeeed61dec
Increasing Awareness,Increasing Awareness of PathwayConnect,Explaining BYU-Pathway to Potential Students,https://missionaries.prod.byu-pathway.psdops.com/Explaining-BYUPW-to-Potential-Students,./data/pdf/Explaining-BYU-Pathway-to-Potential-Students.pdf,pdf,327aca3f59665a9dad820e02fe906993f144be23dc5e6dfb5e258d7f2eebb17b
Increasing Awareness,Increasing Awareness of PathwayConnect,Firesides and Devotionals,https://missionaries.prod.byu-pathway.psdops.com/Firesides-and-Devotionals,./data/pdf/Firesides-and-Devotionals.pdf,pdf,fee8e9e7f56f28d8ad120e7cd56a1460f14cbbfcb553e865fed08e74310ba1f1
Increasing Awareness,Increasing Awareness of PathwayConnect,For Church Leaders Webpage,https://www.byupathway.edu/church-leaders,./data/html/For-Church-Leaders-Webpage.html,html,b42679f3d93102cb63ba8c9480a734067a4ee4a8b492cba69d87e7eda33c2a0e
Increasing Awareness,Increasing Awareness of PathwayConnect,Informe en Fuentes de recursos para líderes y secretarios de la Iglesia,https://missionaries.prod.byu-pathway.psdops.com/Informe-en-Fuentes-de-recursos-para-líderes-y-secretarios-de-la-Iglesia,./data/pdf/Informe-en-Fuentes-de-recursos-para-lideres-y-secretarios-de-la-Iglesia.pdf,pdf,09a81df8b96ae674bec63bfbf17f12a6e60e5f91c2a4e7749ff4a452a31e3017
Increasing Awareness,Increasing Awareness of PathwayConnect,Institutional Handout,https://missionaries.prod.byu-pathway.psdops.com/Institutional-Handout-,./data/pdf/Institutional-Handout.pdf,pdf,44055c1e43e98ffce45f01748f1b615e78d98e302c2402d722ec934b7309d4f3
Increasing Awareness,Increasing Awareness of PathwayConnect,Institutional Brochure,https://missionaries.prod.byu-pathway.psdops.com/institutional-brochure-bi-fold-pdf,./data/pdf/Institutional-Brochure.pdf,pdf,124dd7857206ea155e1c732995e746670d1cb3620be89c8df3e1a93dff6cd49f
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends of the Church (No friends of the church in Group),https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-of-the-Church-No-Nonmembers-in-Group,./data/pdf/Inviting-Friends-of-the-Church-No-friends-of-the-church-in-Group.pdf,pdf,46b3ba9099d6ca20a9e078fe56c06efc43307d23a0361574630f91a658df0041
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends of the Church,https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-of-the-Church-Nonmembers-in-Group,./data/pdf/Inviting-Friends-of-the-Church.pdf,pdf,a53680bc989d063f2a10208398a3defb54c33db973c2ef30b09f75329f42a40c
Increasing Awareness,Increasing Awareness of PathwayConnect,Inviting Friends Who Are Not Members,https://missionaries.prod.byu-pathway.psdops.com/Inviting-Friends-Who-Are-Not-Members,./data/pdf/Inviting-Friends-Who-Are-Not-Members.pdf,pdf,da33ae671e83a1d97947f458d2bf6287971a1ce384e7b45f3c83ca4aff0d15bf
Increasing Awareness,Increasing Awareness of PathwayConnect,Leader and Clerk Resources Report for Church Leaders,https://missionaries.prod.byu-pathway.psdops.com/Leader-and-Clerk-Resources-Report-for-Church-Leaders,./data/pdf/Leader-and-Clerk-Resources-Report-for-Church-Leaders.pdf,pdf,2f1a96dd32cab2040a4a1a01cb65131889ed9190d06fb9e723017434a813bc37
Increasing Awareness,Increasing Awareness of PathwayConnect,Marketing Resources,https://www.byupathway.edu/marketing-resources,./data/html/Marketing-Resources.html,html,dca2c6518ff9e3721d276bcdd63aad9c424cf5c276a13a2d1cc6af52660a521e
Increasing Awareness,Increasing Awareness of PathwayConnect,Ministering Through Education,https://missionaries.prod.byu-pathway.psdops.com/Ministering-Through-Education,./data/pdf/Ministering-Through-Education.pdf,pdf,a611456bc2ee8f67057dab710d6f3f7c34aba046de2dfbdafc81e663ee6c4866
Increasing Awareness,Increasing Awareness of PathwayConnect,Presenting at Ward and Stake Council,https://missionaries.prod.byu-pathway.psdops.com/Presenting-at-Ward-and-Stake-Council,./data/pdf/Presenting-at-Ward-and-Stake-Council.pdf,pdf,016a1073b844576cce1fe7c8492f878aa5a9a69311e306ee9bc0ed9b0ee92d23
Increasing Awareness,Increasing Awareness of PathwayConnect,Printable Interest List,https://missionaries.prod.byu-pathway.psdops.com/BYUPW-Interest-List,./data/pdf/Printable-Interest-List.pdf,pdf,e1bd23e8d13ecab93a36556ad5ead593e212e5a0510d1ae5e4f4dc65f3ae917f
Increasing Awareness,Increasing Awareness of PathwayConnect,Sacrament Meeting Talks,https://missionaries.prod.byu-pathway.psdops.com/Sacrament-Meeting-Talks,./data/pdf/Sacrament-Meeting-Talks.pdf,pdf,3523999e2808e0dc5130cad131c356de1be500184aa7cac3d7bd4ea7a12e3abb
Increasing Awareness,Increasing Awareness of PathwayConnect,"Scriptures, Quotes, and Talks About Education",https://missionaries.prod.byu-pathway.psdops.com/Scriptures-Quotes-and-Talks-About-Education,./data/pdf/Scriptures-Quotes-and-Talks-About-Education.pdf,pdf,903d10b598332701ccdf4f13be3774f9bc896082e5305e5161dc3c39deed547d
Increasing Awareness,Increasing Awareness of PathwayConnect,Second Hour Presentation,https://missionaries.prod.byu-pathway.psdops.com/Second-Hour-Presentation,./data/pdf/Second-Hour-Presentation.pdf,pdf,f7c982c4a5e785e92d52c6f5fb363312967efd84245e3974222bb6ad12a22665
Increasing Awareness,Increasing Awareness of PathwayConnect,Shepherd with Charity,https://missionaries.prod.byu-pathway.psdops.com/Shepherd-with-Charity,./data/pdf/Shepherd-with-Charity.pdf,pdf,49658efa3dd0cae31e8581f86262f35388c1a2266c5f8fca402f079829c2b324
Increasing Awareness,Increasing Awareness of PathwayConnect,Stake Bishop Council Meeting,https://missionaries.prod.byu-pathway.psdops.com/Stake-Bishop-Council-Meeting,./data/pdf/Stake-Bishop-Council-Meeting.pdf,pdf,cec972a77a142f73e077652db19e3d620e6d8a79500abebb324a471117a44db1
Increasing Awareness,Increasing Awareness of PathwayConnect,Sunday Visits with Language Wards,https://missionaries.prod.byu-pathway.psdops.com/Sunday-Visits-with-Language-Wards,./data/pdf/Sunday-Visits-with-Language-Wards.pdf,pdf,9857ff785476b644125d4be55fdce6c533f7cb2c3a58ac09578879020d6535b7
Increasing Awareness,Increasing Awareness of PathwayConnect,Sunday Visits with Wards and Stakes,https://missionaries.prod.byu-pathway.psdops.com/Sunday-Visits-with-Wards-and-Stakes,./data/pdf/Sunday-Visits-with-Wards-and-Stakes.pdf,pdf,3a2a5b1df2f162b128090b18829049a4001bf3628c80f390dee90b7b20b3da50
Increasing Awareness,Increasing Awareness of PathwayConnect,Ward Bulletin Announcement,https://missionaries.prod.byu-pathway.psdops.com/Ward-Bulletin-Announcement,./data/pdf/Ward-Bulletin-Announcement.pdf,pdf,8203af3096e3e5a25e232532e7562bed4397834b7cd7b661f431b5fe9541cb7f
